IoC,count
All,81058642
CIDR,4637
CVE,15045
Domain,58638826
Email,56421
FileHash-IMPHASH,1085
FileHash-MD5,4206581
FileHash-PEHASH,2
FileHash-SHA1,3985910
FileHash-SHA256,5206946
FilePath,1860
Hostname,1105201
IPv4,4916813
IPv6,10632
Mutex,7254
NIDS,35924
URI,301344
URL,2551627
YARA,6442
Ja3,11
Osquery,2
Sslcertfingerprint,748
Bitcoinaddress,5338
